Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
1565,C_ZDAMKXQCEYVLBQ-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1[H])[H])C(=C(C(=O)OC(C(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])(OC(C([H])([H])[H])=O)[H])(OC3=C(C(=C(C(=C3OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])([H])[H])C(OC([H])(C([H])([H])OC(=O)C([H])=C([H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C([H])=C2[H])C([H])(OC(=O)C([H])([H])[H])C3=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C3[H])=C(OC([H])([H])[H])C1[H],,N/A,N/A,N/A,N/A,bmse010325
1566,C_ZDAMKXQCEYVLBQ-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1[H])[H])C(=C(C(=O)OC(C(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])(OC(C([H])([H])[H])=O)[H])(OC3=C(C(=C(C(=C3OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])([H])[H])C(OC([H])(C([H])([H])OC(=O)C([H])=C([H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C([H])=C2[H])C([H])(OC(=O)C([H])([H])[H])C3=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C3[H])=C(OC([H])([H])[H])C1[H],,N/A,N/A,N/A,N/A,bmse010326
1567,C_CLCQNEFEJDVTAT-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1[H])[H])C(=C(C(=O)OC(C(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])(O[H])[H])(OC3=C(C(=C(C(=C3OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC([H])(C1=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C1[H])C([H])(OC=2C(OC([H])([H])[H])=C([H])C([H])=C([H])C2OC([H])([H])[H])C([H])([H])OC(=O)C([H])=C([H])C3=C([H])C([H])=C(OC(=O)C([H])([H])[H])C([H])=C3[H],,N/A,8.06,N/A,5.36E-03,bmse010327
1568,C_CLCQNEFEJDVTAT-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1[H])[H])C(=C(C(=O)OC(C(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])(O[H])[H])(OC3=C(C(=C(C(=C3OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC([H])(C1=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C1[H])C([H])(OC=2C(OC([H])([H])[H])=C([H])C([H])=C([H])C2OC([H])([H])[H])C([H])([H])OC(=O)C([H])=C([H])C3=C([H])C([H])=C(OC(=O)C([H])([H])[H])C([H])=C3[H],,N/A,8.06,N/A,5.36E-03,bmse010328
1569,C_LHNPNPDHJWJRAH-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1[H])[H])C(=C(C(=O)OC(C(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])=O)(OC3=C(C(=C(C(=C3OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])([H])[H])C(OC([H])(C(=O)C2=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C([H])([H])OC(=O)C([H])=C([H])C3=C([H])C([H])=C(OC(=O)C([H])([H])[H])C([H])=C3[H])=C(OC([H])([H])[H])C1[H],,N/A,8.54,N/A,1.76E-03,bmse010329
1570,C_ZZACKBSWRKVJIL-UHFFFAOYSA-N,C(C(OC(C(=C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC2=C(C(C(=C(C(=O)OC(C([H])([H])[H])([H])[H])[H])[H])=C(C(=C2O[H])OC([H])([H])[H])[H])[H])[H])[H])[H])[H])=O)([H])[H])([H])([H])[H],[H]OC=1C(OC2=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])=C2OC([H])([H])[H])=C([H])C(C([H])=C([H])C(=O)OC([H])([H])C([H])([H])[H])=C([H])C1OC([H])([H])[H],,N/A,8.11,N/A,3.42E-03,bmse010330
1571,C_SOYZXRMXOYGADU-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])OC([H])([H])[H])[H])C2(C3(C(C(C4=C(C(=C(C(=C4[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])(OC3=O)[H])(C(=O)O2)[H])[H])[H])[H])([H])([H])[H],[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1OC([H])([H])[H])C2([H])OC(=O)C3([H])C([H])(OC(=O)C23[H])C4=C([H])C(OC([H])([H])[H])=C(O[H])C(OC([H])([H])[H])=C4[H],,N/A,7.24,N/A,2.57E-02,bmse010331
1572,C_APPBYCVXYSCHKW-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1OC2=C(C(C(=C(C(O[H])=O)[H])[H])=C(C(=C2O[H])OC([H])([H])[H])[H])[H])[H])[H])C(=C(C(O[H])=O)[H])[H])[H])([H])([H])[H],[H]OC(=O)C([H])=C([H])C1=C([H])C([H])=C(OC2=C([H])C(C([H])=C([H])C(=O)O[H])=C([H])C(OC([H])([H])[H])=C2O[H])C(OC([H])([H])[H])=C1[H],,N/A,8.03,N/A,3.64E-03,bmse010332
1573,4206-59-1,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C(C(O[H])([H])[H])(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])O[H])[H])[H])(O[H])[H])[H])[H])([H])([H])[H],OC1=CC=C(C=C1OC)C(O)C(C2=CC=C(O)C(OC)=C2)CO,,N/A,5.44,N/A,1.15,bmse010333
1574,C_GGRJTIYRTYNNBM-UHFFFAOYSA-N,C(C(=O)OC(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C(OC([H])([H])[H])C1OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C([H])([H])OC(=O)C([H])([H])[H],,N/A,6.59,N/A,0.13,bmse010334
1575,C_GGRJTIYRTYNNBM-UHFFFAOYSA-N,C(C(=O)OC(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C(OC([H])([H])[H])C1OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C([H])([H])OC(=O)C([H])([H])[H],,N/A,6.59,N/A,0.13,bmse010335
1576,C_OKJDWXYZQZMQON-UHFFFAOYSA-N,C(C(=O)OC(C(=C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C(OC(C([H])([H])[H])=O)([H])[H])(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])(C([H])([H])OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(OC([H])([H])[H])=C([H])C1C([H])=C([H])C([H])([H])OC(=O)C([H])([H])[H],,N/A,7.51,N/A,1.68E-02,bmse010336
1577,C_ODALRVXAGPXQMZ-UHFFFAOYSA-N,C(C(=O)OC(C(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])(OC=2C(=C(C(C(=C(C(=O)[H])[H])[H])=C(C2OC([H])([H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],[H]C(=O)C([H])=C([H])C1=C([H])C([H])=C(OC([H])(C([H])([H])OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(OC([H])([H])[H])=C1[H],,N/A,7.58,N/A,1.32E-02,bmse010337
1578,C_ODALRVXAGPXQMZ-UHFFFAOYSA-N,C(C(=O)OC(C(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])(OC=2C(=C(C(C(=C(C(=O)[H])[H])[H])=C(C2OC([H])([H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],[H]C(=O)C([H])=C([H])C1=C([H])C([H])=C(OC([H])(C([H])([H])OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(OC([H])([H])[H])=C1[H],,N/A,7.58,N/A,1.32E-02,bmse010338
1579,C_FOJKVJDOQASUCB-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C2(C3=C(C(=C(C(=C3C(C4(C2(C(OC4(O[H])[H])([H])[H])[H])[H])([H])[H])[H])OC([H])([H])[H])O[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C2([H])C3=C([H])C(O[H])=C(OC([H])([H])[H])C([H])=C3C([H])([H])C4([H])C([H])(O[H])OC([H])([H])C24[H],,N/A,6.05,N/A,0.32,bmse010339
1580,C_FOJKVJDOQASUCB-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C2(C3=C(C(=C(C(=C3C(C4(C2(C(OC4(O[H])[H])([H])[H])[H])[H])([H])[H])[H])OC([H])([H])[H])O[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C2([H])C3=C([H])C(O[H])=C(OC([H])([H])[H])C([H])=C3C([H])([H])C4([H])C([H])(O[H])OC([H])([H])C24[H],,N/A,6.05,N/A,0.32,bmse010340
1581,9/6/6295,C(C(=O)OC=1C(=C(C(=C(C1OC([H])([H])[H])[H])C2(C3=C(C(=C(C(=C3C(C4(C2(C(OC4=O)([H])[H])[H])[H])([H])[H])[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])[H])[H])([H])([H])[H],O=C(OC1=CC=C(C=C1OC)C2C3=CC(OC(=O)C)=C(OC)C=C3CC4C(=O)OCC24)C,,N/A,6.98,N/A,4.66E-02,bmse010341
1582,5474-93-1,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C2(C3=C(C(=C(C(=C3C(C4(C2(C(OC4=O)([H])[H])[H])[H])([H])[H])[H])OC([H])([H])[H])O[H])[H])[H])[H])([H])([H])[H],O=C1OCC2C(C3=CC=C(O)C(OC)=C3)C4=CC(O)=C(OC)C=C4CC12,,N/A,5.62,N/A,0.86,bmse010342
1583,C_ISYNGIHUXCEJCI-UHFFFAOYSA-N,C(C(=O)OC(C1(C(C2=C(C(=C(C(=C2C(C=3C(=C(C(=C(C3[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(C1(C(OC(C([H])([H])[H])=O)([H])[H])[H])[H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])([H])[H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C(OC([H])([H])[H])C1OC(=O)C([H])([H])[H])C2([H])C3=C([H])C(OC(=O)C([H])([H])[H])=C(OC([H])([H])[H])C([H])=C3C([H])([H])C([H])(C([H])([H])OC(=O)C([H])([H])[H])C2([H])C([H])([H])OC(=O)C([H])([H])[H],,N/A,7.52,N/A,1.60E-02,bmse010343
1584,C_VNXRUOWLRBYXPP-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C(C(C(O[H])([H])[H])(OC2=C(C(=C(C(=C2[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])(OC3=C(C(=C(C(=C3[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])(OC2=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C2[H])C([H])(OC3=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C3[H])C([H])([H])O[H],,N/A,8.35,N/A,2.37E-03,bmse010344
1585,C_GMCBMQHPTLDCJX-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1OC([H])([H])[H])[H])C(C(C(O[H])([H])[H])(OC2=C(C(=C(C(=C2[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])(OC3=C(C(=C(C(=C3[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC([H])([H])C([H])(OC1=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C1[H])C([H])(OC2=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C2[H])C3=C([H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C3[H],,N/A,8.35,N/A,2.45E-03,bmse010345
1586,C_MJNRLWROTKTRSF-UHFFFAOYSA-N,C(C(=O)OC(C(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])(OC2=C(C(=C(C(=C2[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])(OC3=C(C(=C(C(=C3[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])([H])[H])([H])([H])[H],[H]C(=C([H])C1=C([H])C([H])=C(OC([H])(C2=C([H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C([H])(OC3=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C3[H])C([H])([H])OC(=O)C([H])([H])[H])C([H])=C1[H])C(=O)OC([H])([H])[H],,N/A,8.69,N/A,1.19E-03,bmse010346
1587,C_WLUVCMPXXWNTOV-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C(C(C(O[H])([H])[H])(OC=2C(=C(C(C(=C(C(=O)OC([H])([H])[H])[H])[H])=C(C2OC([H])([H])[H])[H])[H])[H])[H])(OC3=C(C(=C(C(=C3[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])(OC2=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C2[H])C([H])(OC3=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C3OC([H])([H])[H])C([H])([H])O[H],,N/A,8.38,N/A,2.35E-03,bmse010347
1588,C_IOQHAKNXRTYMLC-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1OC([H])([H])[H])[H])C(C(C(O[H])([H])[H])(OC=2C(=C(C(C(=C(C(=O)OC([H])([H])[H])[H])[H])=C(C2OC([H])([H])[H])[H])[H])[H])[H])(OC3=C(C(=C(C(=C3[H])[H])C(=C(C(=O)OC([H])([H])[H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H],[H]OC([H])([H])C([H])(OC1=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C1OC([H])([H])[H])C([H])(OC2=C([H])C([H])=C(C([H])=C([H])C(=O)OC([H])([H])[H])C([H])=C2[H])C3=C([H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C3[H],,N/A,N/A,N/A,N/A,bmse010348
1589,C_KGZQZPVYVDLTPL-UHFFFAOYSA-N,C(C(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])O[H])[H])[H])([H])[H])(C(O[H])([H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])(OC2=C([H])C([H])=C(C([H])=C2OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H],,N/A,5.49,N/A,1.13,bmse010349
1590,C_AWWTYDPAJBYYFP-UHFFFAOYSA-N,C(C(C(C1=C(C(=C(C(=C1[H])OC([H])([H])[H])OC(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])O[H])[H])[H])([H])[H])(C(O[H])([H])[H])[H])OC([H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])(OC2=C(OC([H])([H])[H])C([H])=C(C([H])=C2OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H],,N/A,5.4,N/A,1.51,bmse010350
1591,C_ZNYZYJWQANOBJH-UHFFFAOYSA-N,C(C(C(C=1C(=C(C(=C(C1[H])OC([H])([H])[H])OC(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])([H])[H])(C(O[H])([H])[H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H],[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])(OC2=C([H])C([H])=C(C([H])=C2OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H],,N/A,5.41,N/A,1.47,bmse010351
1592,C_ZWTBMCNTCFWFEL-UHFFFAOYSA-N,C(C(C(C1=C(C(=C(C(=C1[H])OC([H])([H])[H])OC(C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])([H])[H])(C(O[H])([H])[H])[H])OC([H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C([H])(OC2=C(OC([H])([H])[H])C([H])=C(C([H])=C2OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H],,N/A,5.47,N/A,1.38,bmse010352
1593,32022-24-5,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C(=C(C(=O)[H])OC=2C(=C(C(C(=C(C(=O)[H])[H])[H])=C(C2OC([H])([H])[H])[H])[H])[H])[H])[H])([H])([H])[H],O=CC=CC1=CC=C(OC(C=O)=CC2=CC=C(O)C(OC)=C2)C(OC)=C1,,N/A,6.68,N/A,7.36E-02,bmse010353
1594,C_BXGJFNPJWJYPAB-UHFFFAOYSA-N,C(OC1=C(C(C(=C(C(=O)[H])[H])[H])=C(C(C=2C(=C(C(=C(C(=O)[H])[H])[H])C(=C(C2O[H])OC([H])([H])[H])[H])[H])=C1O[H])[H])[H])([H])([H])[H],[H]OC=1C(OC([H])([H])[H])=C([H])C(C([H])=C([H])C([H])=O)=C([H])C1C=2C([H])=C(C([H])=C([H])C([H])=O)C([H])=C(OC([H])([H])[H])C2O[H],,N/A,7.26,N/A,1.94E-02,bmse010354
1595,C_BFNVOQPVGCQUBU-UHFFFAOYSA-N,C(OC1=C(C(=C(C(=C1OC(=C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])O[H])[H])[H])[H])C(=O)[H])[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C(OC=2C([H])=C([H])C([H])=C([H])C2OC([H])([H])[H])C([H])=O)C([H])=C1OC([H])([H])[H],,N/A,5.94,N/A,0.35,bmse010355
1596,C_ZQRNALPVJZNFRZ-UHFFFAOYSA-N,C(C(=O)OC=1C(=C(C(C(=C(C(=O)[H])OC2=C(C(=C(C(=C2OC([H])([H])[H])[H])[H])[H])[H])[H])=C(C1OC([H])([H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C([H])C(OC([H])([H])[H])=C(OC(C([H])=O)=C([H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])C1[H],,N/A,6.14,N/A,0.25,bmse010356
1597,C_FCTXZIHAGUDQMU-UHFFFAOYSA-N,C(OC1=C(C(=C(C(=C1OC(=C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H])C(=O)[H])[H])[H])[H])[H])([H])([H])[H],[H]OC=1C(OC([H])([H])[H])=C([H])C(C([H])=C(OC=2C([H])=C([H])C([H])=C([H])C2OC([H])([H])[H])C([H])=O)=C([H])C1OC([H])([H])[H],,N/A,5.75,N/A,0.59,bmse010357
1598,C_XEXWRXRQRHFILQ-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C(C(=O)[H])OC2=C(C(=C(C(=C2OC([H])([H])[H])[H])[H])[H])[H])[H])C(=C1OC([H])([H])[H])[H])[H])OC([H])([H])[H])([H])([H])[H],[H]C=1C([H])=C([H])C(OC([H])([H])[H])=C(OC(C([H])=O)=C([H])C=2C([H])=C(OC([H])([H])[H])C(OC(=O)C([H])([H])[H])=C(OC([H])([H])[H])C2[H])C1[H],,N/A,6.21,N/A,0.23,bmse010358
1599,C_INXIRRGHJWYTKP-UHFFFAOYSA-N,C(C(=O)OC=1C(=C(C(C(=C(C(=O)[H])OC2=C(C(=C(C(=C2OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])=C(C1OC([H])([H])[H])[H])[H])[H])([H])([H])[H],[H]C=1C([H])=C(OC([H])([H])[H])C(OC(C([H])=O)=C([H])C2=C([H])C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H])=C(OC([H])([H])[H])C1[H],,N/A,6.18,N/A,0.24,bmse010359
1600,C_NNZIKBFVOOSCSO-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1OC(=C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H])C(=O)[H])OC([H])([H])[H])[H])[H])[H])([H])([H])[H],[H]OC=1C(OC([H])([H])[H])=C([H])C(C([H])=C(OC=2C(OC([H])([H])[H])=C([H])C([H])=C([H])C2OC([H])([H])[H])C([H])=O)=C([H])C1OC([H])([H])[H],,N/A,5.79,N/A,0.58,bmse010360
1601,C_GUJCAPYTQRVTOE-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C(C(=O)[H])OC2=C(C(=C(C(=C2OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])C(=C1OC([H])([H])[H])[H])[H])OC([H])([H])[H])([H])([H])[H],[H]C(=O)C(OC=1C(OC([H])([H])[H])=C([H])C([H])=C([H])C1OC([H])([H])[H])=C([H])C2=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C2[H],,N/A,6.13,N/A,0.3,bmse010361
1602,C_VHTZRTIABVSTEP-UHFFFAOYSA-N,C(C(=O)OC1=C(C(=C(C(=C1OC([H])([H])[H])[H])C2(C3(C(C(C4=C(C(=C(C(=C4[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)OC([H])([H])[H])[H])(OC3=O)[H])(C(=O)O2)[H])[H])[H])[H])OC([H])([H])[H])([H])([H])[H],[H]C=1C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C([H])C1C2([H])OC(=O)C3([H])C([H])(OC(=O)C23[H])C4=C([H])C(OC([H])([H])[H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C4[H],,N/A,8.09,N/A,4.31E-03,bmse010362
1603,C_KWUZJTHSFSGDOR-UHFFFAOYSA-N,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C2(C(C(O[H])([H])[H])(OC3=C(C(=C(C(=C3O2)[H])C(O[H])([H])[H])[H])OC([H])([H])[H])[H])[H])[H])([H])([H])[H],[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C2([H])OC3=C([H])C(=C([H])C(OC([H])([H])[H])=C3OC2([H])C([H])([H])O[H])C([H])([H])O[H],,N/A,5.7,N/A,0.7,bmse010363
1604,C_QLFKVRJJMLZEBQ-UHFFFAOYSA-N,C(C(=O)OC(C1=C(C(=C2C(=C1[H])OC(C=3C(=C(C(=C(C3[H])OC([H])([H])[H])OC(C([H])([H])[H])=O)[H])[H])(C(C(OC(C([H])([H])[H])=O)([H])[H])(O2)[H])[H])OC([H])([H])[H])[H])([H])[H])([H])([H])[H],[H]C=1C([H])=C(C([H])=C(OC([H])([H])[H])C1OC(=O)C([H])([H])[H])C2([H])OC3=C([H])C(=C([H])C(OC([H])([H])[H])=C3OC2([H])C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])[H],,N/A,7.05,N/A,4.21E-02,bmse010364
1605,C_YKNJDWGZXCGTEC-UHFFFAOYSA-N,C(OC=1C(=C2C(C(C(C2=C(C1O[H])OC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H],[H]OC1=C(OC([H])([H])[H])C([H])=C2C(=C1OC([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],,N/A,4.07,N/A,16.46,bmse010365
1606,503444-14-2,C(C(SC=1C(C2=C(C(=C(C(=C2C1SC(C([H])([H])[H])([H])[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H],OC=1C(OC)=CC2=C(C1OC)C(SCC)=C(SCC)C2,,N/A,5.79,N/A,0.51,bmse010366
1607,C_UYMNRMCDFJADTE-UHFFFAOYSA-N,C(C(SC1=C(C2=C(C(=C(C(=C2C1(SC(C([H])([H])[H])([H])[H])[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H])([H])[H])([H])([H])[H],[H]OC=1C(OC([H])([H])[H])=C([H])C=2C([H])=C(SC([H])([H])C([H])([H])[H])C([H])(SC([H])([H])C([H])([H])[H])C2C1OC([H])([H])[H],,N/A,6.26,N/A,0.17,bmse010367
