Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
46,54-12-6,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])[H],O=C(O)C(N)CC1=CNC=2C=CC=CC21,,N/A,4.1,N/A,16.14,bmse000050
47,556-03-6,C1(=C(C(=C(C(=C1C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])[H])[H])O[H])[H])[H],,Structure can't be parsed,,,,,bmse000051
48,516-06-3,N(C(C(=O)O[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000052
49,C_BAWFJGJZGIEFAR-UHFFFAOYSA-O,C1(=C(C(=C([N+](=C1[H])C2(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OC(C3(C(C(C(N4C(=NC5=C(N([H])[H])N=C(N=C54)[H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])([H])[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])[H])[H])C(N([H])[H])=O)[H])[H],[H]OC1([H])C([H])(O[H])C([H])(OC1([H])N2C([H])=NC=3C(=NC([H])=NC32)N([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C4([H])OC([H])([N+]=5C([H])=C([H])C([H])=C(C5[H])C(=O)N([H])[H])C([H])(O[H])C4([H])O[H],,N/A,N/A,N/A,N/A,bmse000053
50,NOCAS_861594,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OC(C4(C(C(C(N5C(=C(C(C(=C5[H])C(N([H])[H])=O)([H])[H])[H])[H])(O4)[H])(O[H])[H])(O[H])[H])[H])([H])[H])([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],O=C(N)C1=CN(C=CC1)C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC=5C(=NC=NC54)N)C(O)C3O)C(O)C2O,,N/A,N/A,N/A,N/A,bmse000054
51,NOCAS_861579,[H]C1=NC2=C(C(=N1)N([H])[H])N=C([H])N2C3([H])C([H])(C([H])(C([H])(C([H])([H])OP(O[H])(=O)OP(O[H])(=O)OC([H])([H])C4([H])C([H])(C([H])(C([H])(N5C([H])=C([H])C([H])([H])C(=C5[H])C(N([H])[H])=O)O4)O[H])O[H])O3)O[H])OP(O[H])(O[H])=O,O=C(N)C1=CN(C=CC1)C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC=5C(=NC=NC54)N)C(OP(=O)(O)O)C3O)C(O)C2O,,N/A,N/A,N/A,N/A,bmse000055
52,NOCAS_859634,C1(C(C(C(OC1(O[H])[H])(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(N(C(C([H])([H])[H])=O)[H])[H],O=C(NC1C(O)OC(CO)C(O)C1O)C,,N/A,1.53,N/A,6479.37,bmse000056
53,489-46-3,C1(C(C(C(C(O1)(C(O[H])=O)O[H])([H])[H])(O[H])[H])(N(C(C([H])([H])[H])=O)[H])[H])(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])[H],O=C(O)C1(O)OC(C(O)C(O)CO)C(N=C(O)C)C(O)C1,,N/A,1.81,N/A,4757.36,bmse000057
54,C_GNISQJGXJIDKDJ-UHFFFAOYSA-N,C(OC(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])([H])[H])(C(C(C(O[H])=O)([H])[H])([H])[H])=O,[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H],,N/A,3.07,N/A,187.15,bmse000058
55,NOCAS_860318,C([S+](C(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])([H])[H])C(C1(C(C(C(N2C(=NC3=C(N([H])[H])N=C(N=C32)[H])[H])(O1)[H])(O[H])[H])(O[H])[H])[H])([H])[H])([H])([H])[H],,Structure can't be parsed,,,,,bmse000059
